"DRIVERSTANDINGSID","RACEID","DRIVERID","POINTS","POSITION","POSITIONTEXT","WINS","YEAR","ROUND","NAME","DRIVERREF","FINAL","DRIVER_POSITION_BEFORE_RACE","DRIVER_POINTS_BEFORE_RACE","POSITION_POINTS_BEFORE_RACE","POINTS_OF_LOWER_POSITION","POINTS_OF_LOWER_POSITION_BEFORE_RACE","DELTA_POINTS_TO_LOWER_POSITION","DELTA_POINTS_TO_LOWER_POSITION_BEFORE_RACE","CHANGE_DELTA_BEFORE_AND_AFTER_RACE"
16288,332,95,16,8,"8",0,1990,12,"Italian Grand Prix","mansell","N",9,13,13,13,13,3,0,3
16285,332,127,1,17,"17",0,1990,12,"Italian Grand Prix","gugelmin","N",17,1,1,0,0,1,1,0
16283,332,146,0,28,"28",0,1990,12,"Italian Grand Prix","schneider","N",27,0,0,0,0,0,0,0
16327,333,95,25,6,"6",1,1990,13,"Portuguese Grand Prix","mansell","N",8,16,17,17,16,8,1,7
16328,333,77,40,3,"3",0,1990,13,"Portuguese Grand Prix","berger","N",3,37,37,27,27,13,10,3
16329,333,148,0,20,"20",0,1990,13,"Portuguese Grand Prix","foitek","N",20,0,0,0,0,0,0,0
16347,333,139,0,24,"24",0,1990,13,"Portuguese Grand Prix","pirro","N",24,0,0,0,0,0,0,0
16344,333,92,0,36,"36",0,1990,13,"Portuguese Grand Prix","gachot","N",36,0,0,0,0,0,0,0
16343,333,150,0,39,"39",0,1990,13,"Portuguese Grand Prix","gary_brabham","N",39,0,0,,,,,
16341,333,114,0,34,"34",0,1990,13,"Portuguese Grand Prix","dalmas","N",34,0,0,0,0,0,0,0
16338,333,81,0,32,"32",0,1990,13,"Portuguese Grand Prix","morbidelli","N",32,0,0,0,0,0,0,0
16337,333,140,0,35,"35",0,1990,13,"Portuguese Grand Prix","johansson","N",35,0,0,0,0,0,0,0
16335,333,78,0,23,"23",0,1990,13,"Portuguese Grand Prix","larini","N",22,0,0,0,0,0,0,0
16334,333,118,3,12,"12",0,1990,13,"Portuguese Grand Prix","warwick","N",12,3,3,2,2,1,1,0
16332,333,117,60,2,"2",4,1990,13,"Portuguese Grand Prix","prost","N",2,56,56,40,37,20,19,1
16331,333,110,0,25,"25",0,1990,13,"Portuguese Grand Prix","cesaris","N",25,0,0,0,0,0,0,0
16326,333,88,1,16,"16",0,1990,13,"Portuguese Grand Prix","suzuki","N",16,1,1,1,1,0,0,0
16325,333,147,0,26,"26",0,1990,13,"Portuguese Grand Prix","barilla","N",26,0,0,0,0,0,0,0
16322,333,146,0,28,"28",0,1990,13,"Portuguese Grand Prix","schneider","N",28,0,0,0,0,0,0,0
16370,334,110,0,26,"26",0,1990,14,"Spanish Grand Prix","cesaris","N",25,0,0,0,0,0,0,0
16388,334,152,0,38,"38",0,1990,14,"Spanish Grand Prix","giacomelli","N",38,0,0,0,0,0,0,0
16387,334,101,0,34,"34",0,1990,14,"Spanish Grand Prix","brabham","N",33,0,0,0,0,0,0,0
16385,334,133,2,13,"13",0,1990,14,"Spanish Grand Prix","caffi","N",13,2,2,2,2,0,0,0
16424,335,133,2,16,"16",0,1990,15,"Japanese Grand Prix","caffi","N",13,2,2,2,1,0,1,-1
16423,335,112,0,23,"23",0,1990,15,"Japanese Grand Prix","alliot","N",22,0,0,0,0,0,0,0
16421,335,150,0,40,"40",0,1990,15,"Japanese Grand Prix","gary_brabham","N",39,0,0,,0,,0,
16420,335,149,0,38,"38",0,1990,15,"Japanese Grand Prix","langes","N",37,0,0,0,0,0,0,0
18408,362,84,1,23,"23",0,1989,7,"French Grand Prix","brundle","N",20,1,0,0,0,1,0,1
18410,362,137,3,15,"15",0,1989,7,"French Grand Prix","piquet","N",16,3,3,3,3,0,0,0
18413,362,94,0,35,"35",0,1989,7,"French Grand Prix","martini","N",30,0,0,0,0,0,0,0
18414,362,77,0,33,"33",0,1989,7,"French Grand Prix","berger","N",27,0,0,0,0,0,0,0
18416,362,114,0,38,"38",0,1989,7,"French Grand Prix","dalmas","N",33,0,0,0,0,0,0,0
18417,362,163,2,18,"18",0,1989,7,"French Grand Prix","arnoux","N",17,2,1,2,1,0,0,0
18419,362,90,0,32,"32",0,1989,7,"French Grand Prix","moreno","N",26,0,0,0,0,0,0,0
18420,362,133,4,13,"13",0,1989,7,"French Grand Prix","caffi","N",13,4,4,4,4,0,0,0
18422,362,161,0,41,"41",0,1989,7,"French Grand Prix","weidler","N",37,0,0,0,,0,,
18423,362,162,0,37,"37",0,1989,7,"French Grand Prix","raphanel","N",32,0,0,0,0,0,0,0
18425,362,88,0,43,"43",0,1989,7,"French Grand Prix","suzuki","N",39,0,0,,0,,0,
18426,362,140,2,19,"19",0,1989,7,"French Grand Prix","johansson","N",28,0,1,1,1,1,0,1
18430,362,55,3,17,"17",0,1989,7,"French Grand Prix","alesi","N",9,13,2,2,1,1,1,0
18431,362,139,0,25,"25",0,1989,7,"French Grand Prix","pirro","N",26,0,0,0,0,0,0,0
18434,363,95,21,4,"4",1,1989,8,"British Grand Prix","mansell","N",4,15,15,13,13,8,2,6
18436,363,127,4,13,"13",0,1989,8,"British Grand Prix","gugelmin","N",12,4,4,4,4,0,0,0
18437,363,65,5,9,"9",0,1989,8,"British Grand Prix","herbert","N",8,5,4,4,4,1,0,1
18439,363,145,12,6,"6",0,1989,8,"British Grand Prix","nannini","N",6,8,8,6,6,6,2,4
18440,363,156,1,23,"23",0,1989,8,"British Grand Prix","palmer","N",21,1,1,1,0,0,1,-1
18442,363,129,1,21,"21",0,1989,8,"British Grand Prix","grouillard","N",22,1,1,1,1,0,0,0
18443,363,105,6,7,"7",0,1989,8,"British Grand Prix","alboreto","N",7,6,6,6,5,0,1,-1
18445,363,112,0,32,"32",0,1989,8,"British Grand Prix","alliot","N",29,0,0,0,0,0,0,0
18448,363,119,22,3,"3",0,1989,8,"British Grand Prix","patrese","N",3,22,22,21,15,1,7,-6
18449,363,158,4,10,"10",0,1989,8,"British Grand Prix","cheever","N",9,4,4,4,4,0,0,0
18451,363,84,1,24,"24",0,1989,8,"British Grand Prix","brundle","N",23,1,0,1,0,0,0,0
18452,363,122,0,28,"28",0,1989,8,"British Grand Prix","capelli","N",26,0,0,0,0,0,0,0
18454,363,131,4,12,"12",0,1989,8,"British Grand Prix","modena","N",11,4,4,4,4,0,0,0
18455,363,123,13,5,"5",1,1989,8,"British Grand Prix","boutsen","N",5,13,13,12,8,1,5,-4
18457,363,77,0,35,"35",0,1989,8,"British Grand Prix","berger","N",33,0,0,0,0,0,0,0
18460,363,163,2,18,"18",0,1989,8,"British Grand Prix","arnoux","N",18,2,2,2,2,0,0,0
18462,363,90,0,34,"34",0,1989,8,"British Grand Prix","moreno","N",32,0,0,0,0,0,0,0
18463,363,133,4,14,"14",0,1989,8,"British Grand Prix","caffi","N",13,4,4,4,3,0,1,-1
18465,363,161,0,41,"41",0,1989,8,"British Grand Prix","weidler","N",41,0,0,0,0,0,0,0
18468,363,88,0,43,"43",0,1989,8,"British Grand Prix","suzuki","N",43,0,0,,,,,
18469,363,140,2,19,"19",0,1989,8,"British Grand Prix","johansson","N",19,2,2,2,1,0,1,-1
18471,363,99,1,22,"22",0,1989,8,"British Grand Prix","tarquini","N",20,1,1,1,1,0,0,0
18472,363,78,0,31,"31",0,1989,8,"British Grand Prix","larini","N",28,0,0,0,0,0,0,0
18474,363,139,0,27,"27",0,1989,8,"British Grand Prix","pirro","N",25,0,0,0,0,0,0,0
18475,363,103,0,29,"29",0,1989,8,"British Grand Prix","bernard","N",27,0,0,0,0,0,0,0
18477,364,95,25,3,"3",1,1989,9,"German Grand Prix","mansell","N",4,21,22,25,21,0,1,-1
18480,364,65,5,9,"9",0,1989,9,"German Grand Prix","herbert","N",9,5,5,5,4,0,1,-1
18481,364,118,5,10,"10",0,1989,9,"German Grand Prix","warwick","N",15,4,4,4,4,1,0,1
18484,364,138,0,26,"26",0,1989,9,"German Grand Prix","satoru_nakajima","N",26,0,0,0,0,0,0,0
18487,364,102,36,2,"2",4,1989,9,"German Grand Prix","senna","N",2,27,27,25,22,11,5,6
18489,364,110,4,12,"12",0,1989,9,"German Grand Prix","cesaris","N",11,4,4,4,4,0,0,0
18491,364,119,25,4,"4",0,1989,9,"German Grand Prix","patrese","N",3,22,21,13,13,12,8,4
18492,364,158,4,11,"11",0,1989,9,"German Grand Prix","cheever","N",10,4,4,4,4,0,0,0
18494,364,84,1,24,"24",0,1989,9,"German Grand Prix","brundle","N",24,1,1,1,1,0,0,0
18495,364,122,0,28,"28",0,1989,9,"German Grand Prix","capelli","N",28,0,0,0,0,0,0,0
18497,364,131,4,13,"13",0,1989,9,"German Grand Prix","modena","N",12,4,4,4,4,0,0,0
18498,364,123,13,5,"5",1,1989,9,"German Grand Prix","boutsen","N",5,13,13,12,12,1,1,0
18501,364,159,1,25,"25",0,1989,9,"German Grand Prix","sala","N",25,1,1,0,0,1,1,0
18503,364,163,2,19,"19",0,1989,9,"German Grand Prix","arnoux","N",18,2,2,2,2,0,0,0
18504,364,148,0,39,"39",0,1989,9,"German Grand Prix","foitek","N",39,0,0,0,0,0,0,0
18506,364,133,4,15,"15",0,1989,9,"German Grand Prix","caffi","N",14,4,4,3,3,1,1,0
18508,364,161,0,41,"41",0,1989,9,"German Grand Prix","weidler","N",41,0,0,0,0,0,0,0
18509,364,162,0,37,"37",0,1989,9,"German Grand Prix","raphanel","N",37,0,0,0,0,0,0,0
18511,364,88,0,43,"43",0,1989,9,"German Grand Prix","suzuki","N",43,0,0,,,,,
18514,364,99,1,22,"22",0,1989,9,"German Grand Prix","tarquini","N",22,1,1,1,1,0,0,0
18515,364,78,0,31,"31",0,1989,9,"German Grand Prix","larini","N",31,0,0,0,0,0,0,0
18541,365,123,17,5,"5",1,1989,10,"Hungarian Grand Prix","boutsen","N",5,13,13,12,12,5,1,4
18543,365,77,0,35,"35",0,1989,10,"Hungarian Grand Prix","berger","N",35,0,0,0,0,0,0,0
18544,365,159,1,25,"25",0,1989,10,"Hungarian Grand Prix","sala","N",25,1,1,0,0,1,1,0
18546,365,163,2,19,"19",0,1989,10,"Hungarian Grand Prix","arnoux","N",19,2,2,2,2,0,0,0
18547,365,148,0,40,"40",0,1989,10,"Hungarian Grand Prix","foitek","N",39,0,0,0,0,0,0,0
18549,365,133,4,15,"15",0,1989,10,"Hungarian Grand Prix","caffi","N",15,4,4,3,3,1,1,0
18550,365,160,0,38,"38",0,1989,10,"Hungarian Grand Prix","ghinzani","N",40,0,0,0,0,0,0,0
18552,365,162,0,37,"37",0,1989,10,"Hungarian Grand Prix","raphanel","N",37,0,0,0,0,0,0,0
20001,406,173,0,15,"15",0,1986,3,"San Marino Grand Prix","angelis","N",13,0,0,0,0,0,0,0
20002,406,174,0,17,"17",0,1986,3,"San Marino Grand Prix","dumfries","N",15,0,0,0,0,0,0,0
20004,406,123,0,13,"13",0,1986,3,"San Marino Grand Prix","boutsen","N",11,0,0,0,0,0,0,0
20005,406,105,0,19,"19",0,1986,3,"San Marino Grand Prix","alboreto","N",16,0,0,0,0,0,0,0
20006,406,117,13,3,"3",1,1986,3,"San Marino Grand Prix","prost","N",5,4,6,6,4,7,2,5
20008,406,140,3,9,"9",0,1986,3,"San Marino Grand Prix","johansson","N",19,0,2,2,2,1,0,1
20009,406,175,0,16,"16",0,1986,3,"San Marino Grand Prix","tambay","N",14,0,0,0,0,0,0,0
20011,406,156,0,22,"22",0,1986,3,"San Marino Grand Prix","palmer","N",21,0,0,0,0,0,0,0
20012,406,176,0,18,"18",0,1986,3,"San Marino Grand Prix","surer","N",17,0,0,0,0,0,0,0
20015,406,160,0,20,"20",0,1986,3,"San Marino Grand Prix","ghinzani","N",22,0,0,0,0,0,0,0
20018,406,95,6,4,"4",0,1986,3,"San Marino Grand Prix","mansell","N",3,6,4,6,4,0,0,0
20020,407,137,15,3,"3",1,1986,4,"Monaco Grand Prix","piquet","N",1,15,13,11,6,4,7,-3
20021,407,102,19,2,"2",1,1986,4,"Monaco Grand Prix","senna","N",2,15,15,15,13,4,2,2
20023,407,163,5,8,"8",0,1986,4,"Monaco Grand Prix","arnoux","N",8,3,3,3,3,2,0,2
20024,407,84,2,10,"10",0,1986,4,"Monaco Grand Prix","brundle","N",10,2,2,2,2,0,0,0
20026,407,166,0,14,"14",0,1986,4,"Monaco Grand Prix","streiff","N",14,0,0,0,0,0,0,0
20027,407,173,0,16,"16",0,1986,4,"Monaco Grand Prix","angelis","N",15,0,0,0,0,0,0,0
20029,407,170,2,11,"11",0,1986,4,"Monaco Grand Prix","fabi","N",11,2,2,1,1,1,1,0
20031,407,105,0,19,"19",0,1986,4,"Monaco Grand Prix","alboreto","N",19,0,0,0,0,0,0,0
20032,407,117,22,1,"1",2,1986,4,"Monaco Grand Prix","prost","N",3,13,15,19,15,3,0,3
20034,407,140,3,9,"9",0,1986,4,"Monaco Grand Prix","johansson","N",9,3,3,2,2,1,1,0
20037,407,156,0,20,"20",0,1986,4,"Monaco Grand Prix","palmer","N",22,0,0,0,0,0,0,0
20038,407,176,0,17,"17",0,1986,4,"Monaco Grand Prix","surer","N",18,0,0,0,0,0,0,0
20040,407,110,0,24,"24",0,1986,4,"Monaco Grand Prix","cesaris","N",24,0,0,0,0,0,0,0
20041,407,160,0,21,"21",0,1986,4,"Monaco Grand Prix","ghinzani","N",20,0,0,0,0,0,0,0
20043,407,178,0,23,"23",0,1986,4,"Monaco Grand Prix","jones","N",23,0,0,0,0,0,0,0
20044,407,95,9,5,"5",0,1986,4,"Monaco Grand Prix","mansell","N",4,6,6,6,5,3,1,2
20046,408,137,15,4,"4",1,1986,5,"Belgian Grand Prix","piquet","N",3,15,11,11,9,4,2,2
20047,408,102,25,1,"1",1,1986,5,"Belgian Grand Prix","senna","N",2,19,22,23,19,2,3,-1
20049,408,163,5,9,"9",0,1986,5,"Belgian Grand Prix","arnoux","N",8,5,3,3,2,2,1,1
20050,408,84,2,12,"12",0,1986,5,"Belgian Grand Prix","brundle","N",10,2,1,1,0,1,1,0
20054,408,174,0,19,"19",0,1986,5,"Belgian Grand Prix","dumfries","N",18,0,0,0,0,0,0,0
20055,408,170,2,11,"11",0,1986,5,"Belgian Grand Prix","fabi","N",11,2,2,2,1,0,1,-1
20057,408,105,3,10,"10",0,1986,5,"Belgian Grand Prix","alboreto","N",19,0,2,2,2,1,0,1
20058,408,117,23,2,"2",2,1986,5,"Belgian Grand Prix","prost","N",1,22,19,18,15,5,4,1
20060,408,140,7,6,"6",0,1986,5,"Belgian Grand Prix","johansson","N",9,3,6,7,5,0,1,-1
20063,408,156,0,21,"21",0,1986,5,"Belgian Grand Prix","palmer","N",20,0,0,0,0,0,0,0
20064,408,176,0,18,"18",0,1986,5,"Belgian Grand Prix","surer","N",17,0,0,0,0,0,0,0
20066,408,110,0,24,"24",0,1986,5,"Belgian Grand Prix","cesaris","N",24,0,0,0,0,0,0,0
20067,408,160,0,22,"22",0,1986,5,"Belgian Grand Prix","ghinzani","N",21,0,0,0,0,0,0,0
20069,408,178,0,20,"20",0,1986,5,"Belgian Grand Prix","jones","N",23,0,0,0,0,0,0,0
20072,409,137,19,4,"4",1,1986,6,"Canadian Grand Prix","piquet","N",4,15,15,14,11,5,4,1
20075,409,163,6,9,"9",0,1986,6,"Canadian Grand Prix","arnoux","N",9,5,5,3,3,3,2,1
20076,409,84,2,12,"12",0,1986,6,"Canadian Grand Prix","brundle","N",12,2,2,1,1,1,1,0
20078,409,166,0,15,"15",0,1986,6,"Canadian Grand Prix","streiff","N",15,0,0,0,0,0,0,0
20079,409,173,0,17,"17",0,1986,6,"Canadian Grand Prix","angelis","N",17,0,0,0,0,0,0,0
20081,409,170,2,11,"11",0,1986,6,"Canadian Grand Prix","fabi","N",11,2,2,2,2,0,0,0
20082,409,123,0,14,"14",0,1986,6,"Canadian Grand Prix","boutsen","N",14,0,0,0,0,0,0,0
20084,409,117,29,1,"1",2,1986,6,"Canadian Grand Prix","prost","N",2,23,25,27,23,2,2,0
20085,409,157,0,25,"25",0,1986,6,"Canadian Grand Prix","danner","N",23,0,0,0,0,0,0,0
20087,409,175,0,16,"16",0,1986,6,"Canadian Grand Prix","tambay","N",16,0,0,0,0,0,0,0
20088,409,119,1,13,"13",0,1986,6,"Canadian Grand Prix","patrese","N",13,1,1,0,0,1,1,0
20090,409,176,0,18,"18",0,1986,6,"Canadian Grand Prix","surer","N",18,0,0,0,0,0,0,0
20093,409,160,0,23,"23",0,1986,6,"Canadian Grand Prix","ghinzani","N",22,0,0,0,0,0,0,0
20094,409,177,14,5,"5",0,1986,6,"Canadian Grand Prix","keke_rosberg","N",5,11,11,7,7,7,4,3
20096,409,95,27,2,"2",2,1986,6,"Canadian Grand Prix","mansell","N",3,18,23,27,18,0,5,-5
20097,409,179,0,22,"22",0,1986,6,"Canadian Grand Prix","rothengatter","N",25,0,0,0,0,0,0,0
20155,410,158,0,28,"28",0,1986,7,"Detroit Grand Prix","cheever","N",10,8,0,0,0,0,0,0
20149,410,160,0,25,"25",0,1986,7,"Detroit Grand Prix","ghinzani","N",23,0,0,0,0,0,0,0
20148,410,110,0,26,"26",0,1986,7,"Detroit Grand Prix","cesaris","N",24,0,0,0,0,0,0,0
20141,410,157,0,24,"24",0,1986,7,"Detroit Grand Prix","danner","N",25,0,0,0,0,0,0,0
20140,410,117,33,2,"2",2,1986,7,"Detroit Grand Prix","prost","N",1,29,27,29,27,4,0,4
20137,410,170,2,11,"11",0,1986,7,"Detroit Grand Prix","fabi","N",11,2,2,2,2,0,0,0
20135,410,173,0,19,"19",0,1986,7,"Detroit Grand Prix","angelis","N",17,0,0,0,0,0,0,0
20131,410,163,6,10,"10",0,1986,7,"Detroit Grand Prix","arnoux","N",9,6,3,2,2,4,1,3
20136,410,174,0,16,"16",0,1986,7,"Detroit Grand Prix","dumfries","N",19,0,0,0,0,0,0,0
20147,410,145,0,27,"27",0,1986,7,"Detroit Grand Prix","nannini","N",26,0,0,0,,0,,
20154,410,118,0,22,"22",0,1986,7,"Detroit Grand Prix","warwick","N",27,0,0,0,0,0,0,0
65632,884,814,26,8,"8",0,2013,5,"Spanish Grand Prix","resta","N",8,20,20,22,14,4,6,-2
65631,884,16,6,13,"13",0,2013,5,"Spanish Grand Prix","sutil","N",12,6,6,5,5,1,1,0
65630,884,17,42,6,"6",0,2013,5,"Spanish Grand Prix","webber","N",5,32,30,26,26,16,4,12
65629,884,1,50,4,"4",0,2013,5,"Spanish Grand Prix","hamilton","N",3,50,47,45,32,5,15,-10
65626,884,4,72,3,"3",2,2013,5,"Spanish Grand Prix","alonso","N",4,47,50,50,47,22,3,19
65625,884,8,85,2,"2",1,2013,5,"Spanish Grand Prix","raikkonen","N",2,67,67,72,50,13,17,-4
65642,884,823,0,21,"21",0,2013,5,"Spanish Grand Prix","garde","N",21,0,0,0,0,0,0,0
65640,884,819,0,20,"20",0,2013,5,"Spanish Grand Prix","pic","N",20,0,0,0,0,0,0,0
65635,884,815,12,11,"11",0,2013,5,"Spanish Grand Prix","perez","N",11,10,10,7,6,5,4,1
65628,884,13,45,5,"5",0,2013,5,"Spanish Grand Prix","massa","N",6,30,32,42,30,3,2,1
65648,885,4,78,3,"3",2,2013,6,"Monaco Grand Prix","alonso","N",3,72,72,62,50,16,22,-6
65649,885,20,107,1,"1",2,2013,6,"Monaco Grand Prix","vettel","N",1,89,89,86,85,21,4,17
65650,885,13,45,7,"7",0,2013,6,"Monaco Grand Prix","massa","N",5,45,26,28,26,17,0,17
65651,885,1,62,4,"4",0,2013,6,"Monaco Grand Prix","hamilton","N",4,50,50,57,45,5,5,0
65652,885,17,57,5,"5",0,2013,6,"Monaco Grand Prix","webber","N",6,42,45,47,42,10,3,7
65653,885,16,16,11,"11",0,2013,6,"Monaco Grand Prix","sutil","N",13,6,12,12,7,4,5,-1
65655,885,18,25,10,"10",0,2013,6,"Monaco Grand Prix","button","N",10,17,17,16,12,9,5,4
65656,885,154,26,9,"9",0,2013,6,"Monaco Grand Prix","grosjean","N",7,26,22,25,17,1,5,-4
65659,885,821,0,16,"16",0,2013,6,"Monaco Grand Prix","gutierrez","N",16,0,0,0,0,0,0,0
65664,885,823,0,22,"22",0,2013,6,"Monaco Grand Prix","garde","N",21,0,0,,,,,
65667,885,813,0,18,"18",0,2013,6,"Monaco Grand Prix","maldonado","N",18,0,0,0,0,0,0,0
65673,886,1,77,4,"4",0,2013,7,"Canadian Grand Prix","hamilton","N",4,62,62,69,57,8,5,3
65676,886,814,34,8,"8",0,2013,7,"Canadian Grand Prix","resta","N",8,28,28,26,26,8,2,6
65679,886,815,12,13,"13",0,2013,7,"Canadian Grand Prix","perez","N",12,12,7,7,5,5,2,3
65682,886,822,0,17,"17",0,2013,7,"Canadian Grand Prix","bottas","N",17,0,0,0,0,0,0,0
65685,886,820,0,21,"21",0,2013,7,"Canadian Grand Prix","chilton","N",21,0,0,0,0,0,0,0
65730,887,823,0,22,"22",0,2013,8,"British Grand Prix","garde","N",22,0,0,,,,,
65725,887,821,0,18,"18",0,2013,8,"British Grand Prix","gutierrez","N",16,0,0,0,0,0,0,0
65718,887,17,87,5,"5",0,2013,8,"British Grand Prix","webber","N",5,69,69,82,57,5,12,-7
65717,887,1,89,4,"4",0,2013,8,"British Grand Prix","hamilton","N",4,77,77,87,69,2,8,-6
65726,887,822,0,17,"17",0,2013,8,"British Grand Prix","bottas","N",17,0,0,0,0,0,0,0
65714,887,4,111,2,"2",2,2013,8,"British Grand Prix","alonso","N",2,96,96,98,88,13,8,5
65722,887,154,26,9,"9",0,2013,8,"British Grand Prix","grosjean","N",9,26,26,25,25,1,1,0
65736,888,4,123,2,"2",2,2013,9,"German Grand Prix","alonso","N",2,111,111,116,98,7,13,-6
65745,888,815,16,12,"12",0,2013,9,"German Grand Prix","perez","N",13,12,13,13,12,3,1,2
65751,888,820,0,21,"21",0,2013,9,"German Grand Prix","chilton","N",21,0,0,0,0,0,0,0
65754,888,3,84,6,"6",2,2013,9,"German Grand Prix","rosberg","N",6,82,82,57,57,27,25,2
65759,890,20,172,1,"1",4,2013,10,"Hungarian Grand Prix","vettel","N",1,157,157,134,123,38,34,4
65765,890,18,39,9,"9",0,2013,10,"Hungarian Grand Prix","button","N",10,33,36,36,33,3,3,0
65768,890,818,13,13,"13",0,2013,10,"Hungarian Grand Prix","vergne","N",13,13,13,11,11,2,2,0
65771,890,824,0,19,"19",0,2013,10,"Hungarian Grand Prix","jules_bianchi","N",19,0,0,0,0,0,0,0
65774,890,823,0,21,"21",0,2013,10,"Hungarian Grand Prix","garde","N",22,0,0,0,0,0,0,0
65783,891,1,139,3,"3",1,2013,11,"Belgian Grand Prix","hamilton","N",4,124,133,134,124,5,9,-4
65789,891,815,18,12,"12",0,2013,11,"Belgian Grand Prix","perez","N",12,18,18,13,13,5,5,0
65792,891,822,0,17,"17",0,2013,11,"Belgian Grand Prix","bottas","N",17,0,0,0,0,0,0,0
65795,891,820,0,22,"22",0,2013,11,"Belgian Grand Prix","chilton","N",22,0,0,,,,,
65798,891,3,96,6,"6",2,2013,11,"Belgian Grand Prix","rosberg","N",6,84,84,67,61,29,23,6
65804,892,13,79,7,"7",0,2013,12,"Italian Grand Prix","massa","N",7,67,67,57,53,22,14,8
65806,892,17,130,5,"5",0,2013,12,"Italian Grand Prix","webber","N",5,115,115,104,96,26,19,7
65809,892,18,48,9,"9",0,2013,12,"Italian Grand Prix","button","N",9,47,47,36,36,12,11,1
65812,892,818,13,15,"15",0,2013,12,"Italian Grand Prix","vergne","N",13,13,7,1,1,12,6,6
65818,892,823,0,21,"21",0,2013,12,"Italian Grand Prix","garde","N",21,0,0,0,0,0,0,0
65821,892,813,1,16,"16",0,2013,12,"Italian Grand Prix","maldonado","N",16,1,1,0,0,1,1,0
65824,893,4,187,2,"2",2,2013,13,"Singapore Grand Prix","alonso","N",2,169,169,151,141,36,28,8
65833,893,815,22,12,"12",0,2013,13,"Singapore Grand Prix","perez","N",12,18,18,19,18,3,0,3
65836,893,822,0,18,"18",0,2013,13,"Singapore Grand Prix","bottas","N",17,0,0,0,0,0,0,0
65848,894,13,89,7,"7",0,2013,14,"Korean Grand Prix","massa","N",7,87,87,72,57,17,30,-13
65851,894,16,26,12,"12",0,2013,14,"Korean Grand Prix","sutil","N",11,26,22,23,19,3,3,0
65856,894,818,13,15,"15",0,2013,14,"Korean Grand Prix","vergne","N",15,13,13,1,1,12,12,0
65862,894,823,0,21,"21",0,2013,14,"Korean Grand Prix","garde","N",21,0,0,0,0,0,0,0
65865,894,813,1,16,"16",0,2013,14,"Korean Grand Prix","maldonado","N",16,1,1,0,0,1,1,0
65868,895,4,207,2,"2",2,2013,15,"Japanese Grand Prix","alonso","N",2,195,195,177,167,30,28,2
65871,895,1,161,4,"4",1,2013,15,"Japanese Grand Prix","hamilton","N",4,161,161,148,130,13,31,-18
65874,895,814,36,11,"11",0,2013,15,"Japanese Grand Prix","resta","N",10,36,31,26,26,10,5,5
65877,895,815,23,13,"13",0,2013,15,"Japanese Grand Prix","perez","N",13,23,23,18,18,5,5,0
65883,895,820,0,22,"22",0,2013,15,"Japanese Grand Prix","chilton","N",22,0,0,,,,,
65886,895,3,126,6,"6",2,2013,15,"Japanese Grand Prix","rosberg","N",6,122,122,90,89,36,33,3
65905,896,820,0,22,"22",0,2013,16,"Indian Grand Prix","chilton","N",22,0,0,,,,,
16418,335,99,0,32,"32",0,1990,15,"Japanese Grand Prix","tarquini","N",31,0,0,0,0,0,0,0
16417,335,109,0,29,"29",0,1990,15,"Japanese Grand Prix","lehto","N",28,0,0,0,0,0,0,0
16415,335,140,0,36,"36",0,1990,15,"Japanese Grand Prix","johansson","N",35,0,0,0,0,0,0,0
16414,335,151,0,20,"20",0,1990,15,"Japanese Grand Prix","donnelly","N",18,0,0,0,0,0,0,0
16412,335,118,3,14,"14",0,1990,15,"Japanese Grand Prix","warwick","N",12,3,2,3,2,0,0,0
16411,335,122,6,10,"10",0,1990,15,"Japanese Grand Prix","capelli","N",10,6,6,6,5,0,1,-1
16409,335,110,0,27,"27",0,1990,15,"Japanese Grand Prix","cesaris","N",26,0,0,0,0,0,0,0
16402,335,127,1,18,"18",0,1990,15,"Japanese Grand Prix","gugelmin","N",17,1,0,0,0,1,0,1
16401,335,90,6,11,"11",0,1990,15,"Japanese Grand Prix","moreno","N",32,0,5,6,3,0,2,-2
16391,335,123,32,5,"5",1,1990,15,"Japanese Grand Prix","boutsen","N",5,30,30,31,26,1,4,-3
16468,336,65,0,35,"35",0,1990,16,"Australian Grand Prix","herbert","Y",35,0,0,0,0,0,0,0
16444,336,88,6,12,"12",0,1990,16,"Australian Grand Prix","suzuki","Y",12,6,6,5,5,1,1,0
16445,336,95,37,5,"5",1,1990,16,"Australian Grand Prix","mansell","Y",6,31,32,34,31,3,1,2
16447,336,148,0,22,"22",0,1990,16,"Australian Grand Prix","foitek","Y",22,0,0,0,0,0,0,0
16448,336,129,0,31,"31",0,1990,16,"Australian Grand Prix","grouillard","Y",31,0,0,0,0,0,0,0
16466,336,101,0,34,"34",0,1990,16,"Australian Grand Prix","brabham","Y",34,0,0,0,0,0,0,0
16465,336,139,0,26,"26",0,1990,16,"Australian Grand Prix","pirro","Y",26,0,0,0,0,0,0,0
16462,336,92,0,37,"37",0,1990,16,"Australian Grand Prix","gachot","Y",37,0,0,0,0,0,0,0
16461,336,150,0,40,"40",0,1990,16,"Australian Grand Prix","gary_brabham","Y",40,0,0,,,,,
16459,336,114,0,25,"25",0,1990,16,"Australian Grand Prix","dalmas","Y",25,0,0,0,0,0,0,0
16458,336,99,0,32,"32",0,1990,16,"Australian Grand Prix","tarquini","Y",32,0,0,0,0,0,0,0
