"DRIVERSTANDINGSID","RACEID","DRIVERID","POINTS","POSITION","POSITIONTEXT","WINS","YEAR","ROUND","NAME","DRIVERREF","FINAL","DRIVER_POSITION_BEFORE_RACE","DRIVER_POINTS_BEFORE_RACE","POSITION_POINTS_BEFORE_RACE","POINTS_OF_LOWER_POSITION","POINTS_OF_LOWER_POSITION_BEFORE_RACE","DELTA_POINTS_TO_LOWER_POSITION","DELTA_POINTS_TO_LOWER_POSITION_BEFORE_RACE","CHANGE_DELTA_BEFORE_AND_AFTER_RACE"
57033,573,243,1,20,"20",0,1976,14,"Canadian Grand Prix","stommelen","N",20,1,1,0,0,1,1,0
57031,573,242,0,46,"46",0,1976,14,"Canadian Grand Prix","galica","N",45,0,0,0,0,0,0,0
57028,573,280,0,25,"25",0,1976,14,"Canadian Grand Prix","pescarolo","N",25,0,0,0,0,0,0,0
57027,573,265,0,35,"35",0,1976,14,"Canadian Grand Prix","edwards","N",35,0,0,0,0,0,0,0
54896,609,331,0,24,"24",0,1973,5,"Belgian Grand Prix","bueno","N",21,0,0,0,0,0,0,0
54894,609,250,0,18,"18",0,1973,5,"Belgian Grand Prix","pace","N",23,0,0,0,0,0,0,0
54893,609,305,0,27,"27",0,1973,5,"Belgian Grand Prix","hailwood","N",25,0,0,0,0,0,0,0
54891,609,182,2,10,"10",0,1973,5,"Belgian Grand Prix","lauda","N",15,0,1,2,1,0,0,0
54890,609,238,0,23,"23",0,1973,5,"Belgian Grand Prix","peterson","N",20,0,0,0,0,0,0,0
54887,609,197,0,25,"25",0,1973,5,"Belgian Grand Prix","jarier","N",22,0,0,0,0,0,0,0
54885,609,232,6,6,"6",0,1973,5,"Belgian Grand Prix","merzario","N",6,6,6,5,5,1,1,0
54884,609,309,9,4,"4",0,1973,5,"Belgian Grand Prix","revson","N",4,9,9,9,9,0,0,0
54882,609,290,1,13,"13",0,1973,5,"Belgian Grand Prix","wilson_fittipaldi","N",11,1,0,1,0,0,0,0
54881,609,304,9,5,"5",0,1973,5,"Belgian Grand Prix","hulme","N",5,9,9,6,6,3,3,0
54879,609,328,28,2,"2",2,1973,5,"Belgian Grand Prix","stewart","N",2,19,19,18,12,10,7,3
54878,609,327,18,3,"3",0,1973,5,"Belgian Grand Prix","cevert","N",3,12,12,9,9,9,3,6
54938,610,259,0,31,"31",0,1973,6,"Monaco Grand Prix","purley","N",58,0,0,0,0,0,0,0
54937,610,231,0,24,"24",0,1973,6,"Monaco Grand Prix","hunt","N",8,15,0,0,0,0,0,0
54935,610,289,0,23,"23",0,1973,6,"Monaco Grand Prix","hill","N",21,0,0,0,0,0,0,0
54932,610,262,0,26,"26",0,1973,6,"Monaco Grand Prix","oliver","N",29,0,0,0,0,0,0,0
