"raceId","driverId","qual_positon","qual_time","resultId","grid","finish_position","positionOrder","statusId","YEAR","NAME","WEATHER_WET","CIRCUITREF","circuitId","circuit","country","lat","lng","alt","code","forename","surname","nationality","qual_gap","won_race","race_21"
990,20,1,87.958,23802,1,"1",1,1,2018,"Bahrain Grand Prix","N","bahrain",3,"Bahrain International Circuit","Bahrain",26.0325,50.5106,"7","VET","Sebastian","Vettel","German",-0.262,1,0
992,1,2,101.677,23842,2,"1",1,1,2018,"Azerbaijan Grand Prix","N","BAK",73,"Baku City Circuit","Azerbaijan",40.3725,49.8533,"-7","HAM","Lewis","Hamilton","British",-0.234000000000009,1,0
992,20,1,101.498,23845,1,"4",4,1,2018,"Azerbaijan Grand Prix","N","BAK",73,"Baku City Circuit","Azerbaijan",40.3725,49.8533,"-7","VET","Sebastian","Vettel","German",-0.413000000000011,0,0
993,20,3,76.305,23865,3,"4",4,1,2018,"Spanish Grand Prix","N","catalunya",4,"Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","VET","Sebastian","Vettel","German",-0.306999999999988,0,0
993,822,2,76.213,23863,2,"2",2,1,2018,"Spanish Grand Prix","N","catalunya",4,"Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","BOT","Valtteri","Bottas","Finnish",-0.399000000000001,0,0
993,1,1,76.173,23862,1,"1",1,1,2018,"Spanish Grand Prix","N","catalunya",4,"Circuit de Barcelona-Catalunya","Spain",41.57,2.26111,"109","HAM","Lewis","Hamilton","British",-0.438999999999993,1,0
994,1,3,71.232,23884,3,"3",3,1,2018,"Monaco Grand Prix","N","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","HAM","Lewis","Hamilton","British",-0.034000000000006,0,0
994,20,2,71.039,23883,2,"2",2,1,2018,"Monaco Grand Prix","N","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","VET","Sebastian","Vettel","German",-0.227000000000004,0,0
994,817,1,70.81,23882,1,"1",1,1,2018,"Monaco Grand Prix","N","monaco",6,"Circuit de Monaco","Monaco",43.7347,7.42056,"7","RIC","Daniel","Ricciardo","Australian",-0.456000000000003,1,0
995,830,3,70.937,23904,3,"3",3,1,2018,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","VER","Max","Verstappen","Dutch",-0.0589999999999975,0,0
995,822,2,70.857,23903,2,"2",2,1,2018,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","BOT","Valtteri","Bottas","Finnish",-0.138999999999996,0,0
995,20,1,70.764,23902,1,"1",1,1,2018,"Canadian Grand Prix","N","villeneuve",7,"Circuit Gilles Villeneuve","Canada",45.5,-73.5228,"13","VET","Sebastian","Vettel","German",-0.231999999999999,1,0
996,20,3,90.4,23926,3,"5",5,1,2018,"French Grand Prix","N","ricard",34,"Circuit Paul Ricard","France",43.2506,5.79167,"432","VET","Sebastian","Vettel","German",-0.305000000000007,0,0
996,822,2,90.147,23928,2,"7",7,1,2018,"French Grand Prix","N","ricard",34,"Circuit Paul Ricard","France",43.2506,5.79167,"432","BOT","Valtteri","Bottas","Finnish",-0.558000000000021,0,0
996,1,1,90.029,23922,1,"1",1,1,2018,"French Grand Prix","N","ricard",34,"Circuit Paul Ricard","France",43.2506,5.79167,"432","HAM","Lewis","Hamilton","British",-0.676000000000016,1,0
997,8,4,63.66,23943,3,"2",2,1,2018,"Austrian Grand Prix","N","red_bull_ring",70,"Red Bull Ring","Austria",47.2197,14.7647,"678","RAI","Kimi","Räikkönen","Finnish",0,0,0
998,8,3,85.99,23964,3,"3",3,1,2018,"British Grand Prix","N","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","RAI","Kimi","Räikkönen","Finnish",-0.227000000000004,0,0
998,20,2,85.936,23962,2,"1",1,1,2018,"British Grand Prix","N","silverstone",9,"Silverstone Circuit","UK",52.0786,-1.01694,"153","VET","Sebastian","Vettel","German",-0.280999999999992,1,0
